43,71,35,7,52,44,45,70,34,66,86,8,55,15,39,24,2,72,29,49,73,27,81,93,85,55,87,4,54,27,68,76,95,2,30,64,21,21,23,83,15,51,6,98,15,12,15,49,24,99
30,92,59,51,69,9,44,77,45,70,37,27,65,54,47,100,4,30,12,64,28,84,70,13,69,13,30,61,23,77,80,10,29,53,22,44,96,81,16,46,48,76,88,2,30,83,74,28,87,13
66,40,32,99,35,30,2,34,95,85,99,86,2,69,99,98,71,87,89,59,49,85,25,24,29,80,59,22,7,59,29,40,21,27,6,18,7,86,35,45,15,41,46,85,34,75,11,95,66,30
89,29,47,11,12,0,67,86,23,85,16,27,77,73,59,67,82,97,86,46,46,94,48,80,46,84,42,61,64,86,74,98,9,53,71,31,46,91,39,83,44,64,28,12,87,96,53,59,12,41
32,29,18,2,44,41,78,66,5,61,44,48,19,34,9,31,38,79,19,56,59,75,46,66,44,55,97,50,35,67,62,94,97,66,9,71,93,97,15,6,70,59,64,28,64,46,49,33,71,100
79,0,9,81,32,78,85,88,76,36,9,50,10,57,73,44,52,47,39,67,87,59,14,85,66,75,76,32,86,85,12,46,98,89,52,59,98,53,0,94,82,39,18,40,57,65,82,54,77,15
98,98,32,10,27,14,96,97,52,26,53,39,79,33,36,12,88,64,36,40,76,75,22,38,0,67,26,18,23,32,37,52,94,68,74,40,20,50,82,43,95,33,80,79,88,12,99,98,88,5
9,33,88,100,29,98,46,77,22,77,15,58,18,12,31,28,46,14,34,51,54,6,87,5,64,32,73,42,71,78,17,33,63,91,72,11,66,36,23,34,1,80,3,98,91,99,85,29,42,45
79,65,36,51,62,39,30,72,40,75,15,73,97,67,66,43,52,60,11,19,53,86,96,44,55,10,92,16,88,27,2,92,76,55,69,74,54,42,7,89,57,82,63,96,73,76,32,79,96,96
37,60,7,98,71,18,60,10,76,23,19,81,96,88,7,0,2,67,19,99,12,24,73,51,94,99,26,68,19,58,82,39,73,11,5,97,89,45,77,56,48,54,89,3,16,83,45,31,17,41
26,71,9,51,77,19,64,52,66,28,77,90,26,8,14,85,68,5,91,2,71,59,34,35,76,4,26,52,58,23,68,87,14,58,77,49,80,97,32,63,31,77,100,78,37,4,45,29,14,10
54,46,73,8,19,89,100,21,61,0,6,82,61,92,79,81,93,5,23,68,53,41,3,73,68,98,40,73,97,53,95,83,96,46,13,16,7,28,40,31,71,85,51,31,48,87,26,1,1,20
7,27,8,91,58,33,21,100,71,5,78,52,76,81,68,9,42,43,45,75,13,97,41,53,19,49,22,43,16,25,46,33,24,34,86,52,96,89,36,45,57,4,46,4,100,19,20,52,69,31
12,61,5,73,91,69,85,39,79,72,32,87,9,92,59,27,93,5,27,50,74,30,64,17,25,35,21,35,14,91,83,19,58,90,7,67,8,85,31,14,93,87,96,86,23,26,98,3,66,34
75,14,76,52,88,30,19,65,92,82,83,2,7,24,86,81,8,92,58,86,95,49,58,9,68,76,28,80,54,71,60,78,79,91,21,21,22,77,5,53,19,16,94,91,74,82,30,89,44,60
17,91,22,76,8,16,44,71,42,55,31,36,0,31,95,50,7,40,87,81,76,88,85,23,46,39,55,77,75,48,82,28,73,72,74,19,94,83,90,36,32,82,54,75,54,7,59,26,48,7
83,16,75,38,50,60,72,36,43,5,13,78,20,14,83,26,93,36,92,59,3,25,62,20,22,89,17,24,67,10,34,31,93,70,77,75,97,26,23,68,46,68,56,0,95,57,50,34,8,4
39,26,38,6,1,68,93,82,44,64,37,100,46,71,15,62,68,75,92,66,22,32,98,61,65,49,25,4,100,31,19,88,49,3,32,10,33,5,52,24,58,89,69,56,8,71,22,78,73,82
56,17,88,31,53,1,79,18,61,66,59,58,9,98,66,32,43,18,66,53,43,92,87,30,0,0,43,67,57,22,21,88,66,44,75,8,56,64,0,54,17,79,74,100,92,31,9,92,0,70
78,11,57,8,50,92,24,62,7,58,10,87,68,10,24,62,57,59,63,91,0,75,99,67,11,19,20,12,42,79,70,92,58,21,52,27,43,86,81,82,6,19,70,74,14,33,49,18,52,96
86,85,9,43,12,87,73,95,98,95,55,96,42,92,50,38,11,95,37,57,51,38,28,79,38,46,4,11,26,46,69,41,27,16,78,30,2,30,80,88,98,34,61,10,8,67,100,72,9,15
63,88,73,16,43,27,42,64,0,21,55,30,56,77,95,81,15,18,5,25,33,94,50,63,3,5,95,88,15,90,3,96,58,99,13,8,50,36,96,70,44,49,50,33,80,67,87,66,10,99
20,20,85,93,86,77,99,86,60,78,20,81,63,35,3,58,17,86,31,4,51,91,0,49,56,22,34,77,47,2,3,59,86,84,97,95,55,22,15,23,71,8,41,24,86,91,9,1,97,98
31,46,57,28,50,60,64,51,32,45,61,65,53,81,62,81,56,44,26,74,69,74,92,77,73,18,9,35,52,85,13,72,88,19,8,20,48,60,18,87,81,54,38,18,58,71,28,93,93,98
55,43,95,44,51,38,15,3,10,17,6,0,7,13,50,9,73,78,51,41,25,79,76,53,75,86,46,9,54,87,19,15,94,24,15,23,68,27,66,72,65,60,47,45,49,56,33,78,71,22
95,31,23,31,43,43,11,73,48,83,86,26,0,54,51,74,98,15,79,31,30,88,34,100,76,62,63,95,12,89,62,8,49,58,63,70,75,35,90,93,41,94,55,51,53,7,80,72,64,10
45,31,31,90,90,15,30,33,65,32,88,53,81,13,5,97,52,15,30,99,18,33,79,45,89,70,36,44,10,18,84,45,14,86,82,25,8,100,36,86,40,57,69,21,45,42,91,91,98,13
85,32,48,57,0,52,85,8,66,65,46,68,58,58,32,32,12,27,23,79,49,25,69,11,96,9,51,94,65,20,55,17,60,45,68,3,35,56,24,36,93,47,55,58,1,70,39,16,32,100
99,78,95,35,99,2,56,43,33,23,77,47,92,51,48,15,31,61,71,79,93,92,54,72,69,100,41,48,61,46,63,50,49,30,32,75,76,73,88,12,39,66,45,19,28,90,94,79,59,49
18,12,57,5,13,35,69,77,64,29,23,22,42,5,20,36,60,79,90,92,85,92,19,32,8,10,6,1,72,8,67,22,65,6,57,75,75,58,11,26,27,96,77,86,9,3,86,43,33,23
36,95,61,99,79,58,67,58,5,32,41,25,60,52,54,72,57,93,86,80,77,56,59,75,62,73,87,11,91,12,50,70,1,40,69,36,56,22,12,25,69,51,65,21,14,64,71,18,69,45
45,50,7,35,64,2,48,19,32,64,29,62,21,90,46,98,67,6,65,82,91,74,83,70,50,30,54,24,0,17,33,29,90,48,26,25,8,59,49,57,0,84,62,57,39,59,16,50,62,49
17,37,87,1,39,63,38,53,39,63,46,6,34,9,30,91,48,51,54,43,10,28,12,17,94,37,19,89,88,34,59,91,61,24,48,58,44,67,74,79,45,64,7,87,91,25,94,92,87,95
70,49,2,97,13,56,2,24,19,6,25,64,89,9,67,91,48,38,59,8,26,25,76,100,65,88,98,87,37,17,84,50,64,65,37,50,65,60,0,4,82,80,37,35,72,80,1,68,56,49
75,43,70,86,98,27,18,51,69,91,84,96,97,60,97,60,74,37,34,29,22,7,55,77,39,80,2,63,96,54,57,89,54,27,38,59,97,24,85,40,0,13,1,98,82,2,14,1,23,92
70,79,89,40,58,31,41,34,63,65,3,52,83,67,36,70,15,4,67,60,17,70,4,30,86,38,48,34,72,26,68,15,84,7,64,65,3,52,27,74,46,88,91,99,58,55,44,65,74,75
4,18,23,76,90,41,98,68,44,92,42,52,23,67,10,96,0,61,10,43,55,0,22,56,73,92,59,62,21,8,54,60,37,97,52,60,15,5,9,93,23,29,55,98,98,53,26,93,39,52
41,50,48,87,36,7,62,2,45,95,20,80,12,62,89,29,0,0,70,51,90,29,8,0,40,2,45,25,27,45,87,91,85,9,14,10,24,68,75,93,100,46,75,87,66,63,2,32,78,87
48,79,82,93,53,90,42,53,84,74,29,89,91,13,3,66,86,75,38,48,80,30,36,28,61,33,65,16,15,49,31,6,59,28,95,47,75,88,79,11,95,90,1,49,51,69,7,85,36,30
6,13,40,76,81,97,26,36,0,14,9,19,94,8,2,20,61,42,39,71,8,61,1,94,85,53,77,85,87,10,43,27,13,62,37,49,93,64,29,87,97,70,23,13,78,44,83,98,70,79
69,79,84,63,57,56,6,51,76,65,68,100,22,31,19,63,23,32,85,86,16,0,39,17,46,2,46,70,44,14,30,65,89,5,55,22,8,88,75,42,29,80,98,27,81,81,11,12,39,90
